               ,   coef   , std err ,    t    ,P>|t| , [95.0% Conf. Int.]
C(Year)[T.1961],-4.459e-09,  8.9e-09,   -0.501, 0.616,-2.19e-08   1.3e-08
C(Year)[T.1962], 1.517e-11, 2.37e-11,    0.641, 0.521,-3.12e-11  6.16e-11
C(Year)[T.1963], -1.28e-14, 2.66e-14,   -0.481, 0.631, -6.5e-14  3.95e-14
C(Year)[T.1964], 9.426e-15, 1.71e-14,    0.551, 0.581,-2.41e-14   4.3e-14
C(Year)[T.1965], 1.427e-15, 1.06e-14,    0.134, 0.893,-1.94e-14  2.23e-14
C(Year)[T.1966], 4.135e-15, 9.85e-15,    0.420, 0.675,-1.52e-14  2.35e-14
C(Year)[T.1967], 9.174e-17, 1.03e-14,    0.009, 0.993,-2.01e-14  2.03e-14
C(Year)[T.1968], 5.103e-16, 6.03e-15,    0.085, 0.933,-1.13e-14  1.23e-14
C(Year)[T.1969], 1.592e-15, 1.22e-14,    0.131, 0.896,-2.23e-14  2.55e-14
C(Year)[T.1970], 1.365e-15, 8.65e-15,    0.158, 0.875,-1.56e-14  1.83e-14
C(Year)[T.1971], 3.645e-16, 1.02e-14,    0.036, 0.972,-1.97e-14  2.04e-14
C(Year)[T.1972], 2.407e-15, 1.15e-14,    0.209, 0.835,-2.02e-14   2.5e-14
C(Year)[T.1973],-1.864e-15, 5.81e-15,   -0.321, 0.748,-1.33e-14  9.53e-15
C(Year)[T.1974],  4.18e-15, 1.54e-14,    0.271, 0.786,-2.61e-14  3.44e-14
C(Year)[T.1975], 8.276e-16, 8.42e-15,    0.098, 0.922,-1.57e-14  1.73e-14
C(Year)[T.1976],    4.5378,    8.438,    0.538, 0.591,  -12.021    21.096
C(Year)[T.1977],    4.5081,    8.439,    0.534, 0.593,  -12.052    21.068
C(Year)[T.1978],    3.2805,    8.440,    0.389, 0.698,  -13.280    19.841
C(Year)[T.1979],    4.0692,    8.440,    0.482, 0.630,  -12.493    20.631
C(Year)[T.1980],    5.0127,    8.441,    0.594, 0.553,  -11.551    21.576
C(Year)[T.1981],    5.1861,    8.442,    0.614, 0.539,  -11.379    21.751
C(Year)[T.1982],    4.6752,    8.442,    0.554, 0.580,  -11.891    21.241
C(Year)[T.1983],    2.3929,    8.443,    0.283, 0.777,  -14.175    18.961
C(Year)[T.1984],    1.9468,    8.444,    0.231, 0.818,  -14.622    18.516
C(Year)[T.1985],    1.5608,    8.444,    0.185, 0.853,  -15.010    18.131
C(Year)[T.1986],    2.1945,    8.445,    0.260, 0.795,  -14.377    18.766
C(Year)[T.1987],    3.3619,    8.446,    0.398, 0.691,  -13.211    19.935
C(Year)[T.1988],    5.1782,    8.447,    0.613, 0.540,  -11.397    21.753
C(Year)[T.1989],    5.3587,    8.447,    0.634, 0.526,  -11.218    21.935
C(Year)[T.1990],    0.1217,    1.597,    0.076, 0.939,   -3.011     3.255
C(Year)[T.1991],    1.2832,    1.596,    0.804, 0.422,   -1.849     4.415
C(Year)[T.1992],    0.3594,    1.596,    0.225, 0.822,   -2.772     3.491
C(Year)[T.1993],    1.3384,    1.595,    0.839, 0.402,   -1.792     4.469
C(Year)[T.1994],    0.0412,    1.595,    0.026, 0.979,   -3.089     3.171
C(Year)[T.1995],   -0.3806,    1.586,   -0.240, 0.810,   -3.493     2.732
C(Year)[T.1996],   -2.3446,    1.586,   -1.479, 0.140,   -5.456     0.767
C(Year)[T.1997],   -0.2133,    1.585,   -0.135, 0.893,   -3.324     2.898
C(Year)[T.1998],   -3.0274,    1.585,   -1.910, 0.056,   -6.138     0.083
C(Year)[T.1999],   -5.5405,    1.585,   -3.496, 0.000,   -8.650    -2.431
C(Year)[T.2000],   -4.5296,    1.639,   -2.764, 0.006,   -7.746    -1.313
C(Year)[T.2001],   -3.9911,    1.641,   -2.432, 0.015,   -7.211    -0.771
C(Year)[T.2002],   -4.0504,    1.643,   -2.465, 0.014,   -7.275    -0.826
C(Year)[T.2003],   -3.8623,    1.645,   -2.348, 0.019,   -7.090    -0.634
C(Year)[T.2004],   -4.4383,    1.646,   -2.696, 0.007,   -7.669    -1.207
C(Year)[T.2005],   -3.2855,    1.648,   -1.994, 0.046,   -6.519    -0.052
C(Year)[T.2006],   -2.5638,    1.650,   -1.554, 0.120,   -5.801     0.673
C(Year)[T.2007],   -2.1666,    1.651,   -1.312, 0.190,   -5.407     1.074
C(Year)[T.2008],   -3.2223,    1.653,   -1.949, 0.052,   -6.467     0.022
C(Year)[T.2009],   -4.2242,    1.656,   -2.550, 0.011,   -7.474    -0.974
C(Year)[T.2010],   -4.7446,    1.658,   -2.862, 0.004,   -7.998    -1.491
